City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
304,Lazarev,RU,52.225,141.5131,-12.35,99,62,6.29,broken clouds
305,Dauphin,CA,51.1494,-100.0502,3.15,96,100,5.7,light snow
306,Saint-Georges,GD,12.0564,-61.7485,80.89,69,22,14.41,few clouds
307,Lerwick,GB,60.1545,-1.1494,41.0,91,100,16.55,overcast clouds
308,Union,US,40.6334,-74.2663,25.32,47,0,6.91,clear sky
309,Kodinsk,RU,58.6881,99.1844,-18.09,100,17,3.09,few clouds
310,Ojinaga,MX,29.5667,-104.4167,47.35,27,0,3.44,clear sky
311,Zhangjiakou,CN,40.81,114.8794,5.18,77,83,6.08,broken clouds
312,Alice Town,BS,25.7167,-79.3,70.29,61,100,25.72,overcast clouds
313,Stephenville,US,32.2207,-98.2023,51.93,85,0,8.05,clear sky
314,Fukue,JP,32.6881,128.8419,41.54,64,6,25.32,clear sky
315,Olafsvik,IS,64.8945,-23.7142,32.7,72,100,16.37,snow
316,Riihimaki,FI,60.7377,24.7773,33.98,98,100,9.06,snow
317,Kumta,IN,14.4167,74.4,75.61,71,2,4.72,clear sky
318,Andreapol,RU,56.6513,32.2664,29.77,87,8,10.25,clear sky
319,Liberal,US,37.0431,-100.921,42.03,51,0,12.66,clear sky
320,Lac Du Bonnet,CA,50.2536,-96.0612,2.39,91,100,7.43,overcast clouds
321,Port Moresby,PG,-9.4431,147.1797,75.97,89,100,3.6,overcast clouds
322,Ornskoldsvik,SE,63.2909,18.7153,26.42,100,100,8.05,light snow
323,Axim,GH,4.8699,-2.2405,84.67,70,56,9.46,light rain
324,Erdenet,MN,49.0333,104.0833,-12.19,95,96,2.98,overcast clouds
325,Narsaq,GL,60.9167,-46.05,7.02,70,51,3.22,broken clouds
326,Guilin,CN,25.2819,110.2864,50.38,80,100,6.02,overcast clouds
327,Labuhan,ID,-6.8844,112.2051,76.8,92,100,6.78,overcast clouds
328,Matagami,CA,49.7502,-77.6328,-10.61,86,74,7.29,broken clouds
329,Ormara,PK,25.2088,64.6357,72.3,63,0,7.76,clear sky
330,Olinda,BR,-8.0089,-34.8553,85.73,66,75,6.91,broken clouds
331,Jumla,NP,29.2747,82.1838,30.15,87,49,5.59,scattered clouds
332,Kavaratti,IN,10.5669,72.642,80.83,69,32,7.34,scattered clouds
333,Rognan,NO,67.0953,15.3878,24.94,74,50,8.14,scattered clouds
334,Lieksa,FI,63.3167,30.0167,26.92,95,100,12.39,light snow
335,Kavieng,PG,-2.5744,150.7967,80.89,77,97,3.31,moderate rain
336,Adrar,MR,20.5022,-10.0711,77.18,12,100,17.67,overcast clouds
337,Quang Ngai,VN,15.1167,108.8,70.72,93,100,5.64,overcast clouds
338,Sitka,US,57.0531,-135.33,37.29,87,100,9.22,moderate rain
339,Kuching,MY,1.55,110.3333,75.42,88,20,3.44,few clouds
340,Pando,UY,-34.7167,-55.95,82.98,30,0,6.67,clear sky
341,Kuruman,ZA,-27.4524,23.4325,81.99,35,100,8.93,overcast clouds
342,Natal,BR,-5.795,-35.2094,88.45,66,40,14.97,scattered clouds
343,Arrecife,ES,28.963,-13.5477,69.87,63,75,18.41,broken clouds
344,Hay River,CA,60.8156,-115.7999,-21.71,100,95,7.38,overcast clouds
345,Sinnamary,GF,5.3833,-52.95,75.27,94,100,10.47,light rain
346,Kenai,US,60.5544,-151.2583,27.09,97,100,3.44,mist
347,Thunder Bay,CA,48.4001,-89.3168,-4.72,76,89,1.36,overcast clouds
348,Santa Maria,BR,-29.6842,-53.8069,88.9,20,0,6.33,clear sky
349,Henties Bay,NA,-22.116,14.2845,74.86,84,42,12.57,scattered clouds
