City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
128,Bathsheba,BB,2022-02-12 15:52:05,13.2167,-59.5167,83.01,61,75,23.02
129,Samarai,PG,2022-02-12 15:52:06,-10.6167,150.6667,80.28,68,93,8.46
130,Lengshuitan,CN,2022-02-12 15:52:07,26.4111,111.5956,40.96,93,100,3.56
131,Manggar,ID,2022-02-12 15:52:08,-2.8833,108.2667,79.05,86,98,7.09
132,Tuktoyaktuk,CA,2022-02-12 15:52:09,69.4541,-133.0374,-29.2,75,0,8.05
133,Narsaq,GL,2022-02-12 15:52:11,60.9167,-46.05,29.01,97,100,2.84
134,Saint George,US,2022-02-12 15:52:11,37.1041,-113.5841,50.54,27,0,8.01
135,Mikuni,JP,2022-02-12 15:52:12,36.2171,136.1519,33.71,77,90,2.51
136,Hithadhoo,MV,2022-02-12 15:52:13,-0.6,73.0833,81.88,67,82,9.66
137,Isabela,PH,2022-02-12 15:53:14,6.7085,121.9711,77.05,86,100,3.62
138,Sitka,US,2022-02-12 15:53:16,57.0531,-135.33,42.69,81,100,10.36
139,Souillac,MU,2022-02-12 15:52:41,-20.5167,57.5167,80.98,74,20,3.44
140,Semey,KZ,2022-02-12 15:53:17,50.4111,80.2275,17.17,92,100,16.71
141,Anadyr,RU,2022-02-12 15:53:18,64.75,177.4833,-30.5,68,0,6.71
142,Yenagoa,NG,2022-02-12 15:53:19,4.9247,6.2642,91.06,46,98,10.56
143,Arraial Do Cabo,BR,2022-02-12 15:53:20,-22.9661,-42.0278,80.46,74,75,5.75
144,Touros,BR,2022-02-12 15:53:21,-5.1989,-35.4608,86.9,61,38,10.8
145,Codrington,AU,2022-02-12 15:53:23,-38.2667,141.9667,63.63,69,18,10.83
146,Laranjeiras Do Sul,BR,2022-02-12 15:53:24,-25.4078,-52.4161,87.76,36,0,1.19
147,Cedar City,US,2022-02-12 15:53:25,37.6775,-113.0619,39.4,45,0,2.24
148,Alofi,NU,2022-02-12 15:52:10,-19.0595,-169.9187,75.09,88,14,1.14
149,Hopelchen,MX,2022-02-12 15:53:27,19.7667,-89.85,78.08,66,51,5.46
150,Shenzhen,CN,2022-02-12 15:53:14,22.5455,114.0683,68.07,89,98,4.59
151,Bayonet Point,US,2022-02-12 15:53:30,28.3267,-82.6834,78.3,68,39,4.0
152,Puerto Baquerizo Moreno,EC,2022-02-12 15:52:31,-0.9,-89.6,79.79,78,40,12.66
153,Opuwo,NA,2022-02-12 15:53:31,-18.0607,13.84,77.59,58,98,6.6
154,Lorengau,PG,2022-02-12 15:53:32,-2.0226,147.2712,80.71,75,94,3.58
155,Babstovo,RU,2022-02-12 15:53:35,48.1167,132.4833,8.58,96,100,6.69
156,Otane,NZ,2022-02-12 15:53:36,-39.8833,176.6333,62.38,98,100,3.11
157,Adrar,MR,2022-02-12 15:53:37,20.5022,-10.0711,78.75,15,22,14.16
158,Rantoul,US,2022-02-12 15:53:38,40.3084,-88.1559,20.98,76,100,8.99
159,Norman Wells,CA,2022-02-12 15:53:40,65.282,-126.8329,-14.76,70,40,6.91
160,Russell,US,2022-02-12 15:53:40,32.3502,-85.1999,61.97,87,0,0.0
161,Namibe,AO,2022-02-12 15:53:41,-15.1961,12.1522,80.44,62,58,10.92
162,Gondanglegi,ID,2022-02-12 15:53:42,-7.7479,112.0132,74.1,97,100,4.41
163,Airai,TL,2022-02-12 15:53:43,-8.9266,125.4092,59.67,94,83,2.44
164,Lamu,KE,2022-02-12 15:53:44,-2.2717,40.902,80.82,84,92,13.8
165,Gemena,CD,2022-02-12 15:53:45,3.25,19.7667,96.24,18,26,2.26
166,Kaitangata,NZ,2022-02-12 15:53:46,-46.2817,169.8464,51.93,69,100,9.4
167,Bismarck,US,2022-02-12 15:53:47,46.8083,-100.7837,14.86,80,40,10.36
168,Kolosovka,RU,2022-02-12 15:53:48,56.4678,73.611,-4.49,97,60,10.45
169,Barcelos,PT,2022-02-12 15:53:50,41.5388,-8.6151,61.84,68,79,3.98
170,Klaksvik,FO,2022-02-12 15:53:51,62.2266,-6.589,41.92,83,100,11.95
171,Ajaccio,FR,2022-02-12 15:53:52,42.0,8.9167,51.96,72,100,9.22
172,Hobart,AU,2022-02-12 15:53:53,-42.8794,147.3294,57.06,73,92,8.05
173,Acapulco,MX,2022-02-12 15:51:30,16.8634,-99.8901,81.5,50,100,2.33
174,Yellowknife,CA,2022-02-12 15:53:54,62.456,-114.3525,-27.58,88,0,5.75
175,Te Anau,NZ,2022-02-12 15:53:55,-45.4167,167.7167,45.72,82,82,3.27
176,Saldanha,ZA,2022-02-12 15:50:28,-33.0117,17.9442,71.65,90,100,17.36
177,Cabo San Lucas,MX,2022-02-12 15:53:57,22.8909,-109.9124,69.51,46,45,10.4
178,Nikolskoye,RU,2022-02-12 15:53:58,59.7035,30.7861,34.72,95,100,12.3
179,Popondetta,PG,2022-02-12 15:53:59,-8.7537,148.2534,74.32,91,99,2.28
180,Victoria,HK,2022-02-12 15:50:25,22.2855,114.1577,68.18,85,82,5.01
181,Butaritari,KI,2022-02-12 15:52:55,3.0707,172.7902,81.86,77,46,17.2
182,Maragogi,BR,2022-02-12 15:55:02,-9.0122,-35.2225,86.5,60,63,15.17
183,Okha,RU,2022-02-12 15:55:04,53.5739,142.9478,7.95,95,92,6.42
184,Mataram,ID,2022-02-12 15:55:05,-8.5833,116.1167,77.81,90,99,9.75
185,Puerto Del Rosario,ES,2022-02-12 15:55:06,28.5004,-13.8627,69.55,68,20,12.66
186,Farafangana,MG,2022-02-12 15:55:07,-22.8167,47.8333,76.59,80,13,7.61
187,Tiznit,MA,2022-02-12 15:55:08,29.5833,-9.5,66.04,39,0,14.09
188,Lexington,US,2022-02-12 15:54:25,37.9887,-84.4777,34.34,72,59,10.29
189,Chambersburg,US,2022-02-12 15:55:07,39.9376,-77.6611,50.76,64,100,5.99
190,Khvoynaya,RU,2022-02-12 15:55:10,58.9,34.5333,25.11,94,97,11.97
191,Kemin,KG,2022-02-12 15:55:12,42.7846,75.6892,22.05,94,99,3.85
192,Khuzhir,RU,2022-02-12 15:55:13,53.1939,107.3397,-8.95,90,61,4.27
193,Batagay,RU,2022-02-12 15:55:14,67.6333,134.6333,-32.15,98,85,3.09
194,Aswan,EG,2022-02-12 15:55:15,24.0934,32.907,79.9,22,0,17.76
195,Yulara,AU,2022-02-12 15:55:16,-25.2406,130.9889,75.04,33,3,5.75
196,Biograd Na Moru,HR,2022-02-12 15:55:17,43.9433,15.4519,52.75,54,92,9.53
197,Ayagoz,KZ,2022-02-12 15:52:08,47.9714,80.4392,18.12,93,97,21.7
198,Senneterre,CA,2022-02-12 15:55:18,48.3835,-77.2328,-12.78,81,100,11.7
199,Lompoc,US,2022-02-12 15:52:45,34.6391,-120.4579,71.13,50,0,11.5
200,Altamira,BR,2022-02-12 15:55:20,-3.2033,-52.2064,77.09,94,75,3.44
201,Mugur-Aksy,RU,2022-02-12 15:55:21,50.35,90.5,-20.16,84,19,6.31
202,Sofiyivka,UA,2022-02-12 15:55:22,48.0493,33.8746,35.83,72,100,18.1
203,Natal,BR,2022-02-12 15:55:19,-5.795,-35.2094,88.02,66,75,17.27
204,Biltine,TD,2022-02-12 15:52:40,14.5333,20.9167,87.58,9,28,7.36
205,Sibolga,ID,2022-02-12 15:55:25,1.7427,98.7792,76.95,81,74,3.06
206,Coahuayana,MX,2022-02-12 15:55:26,18.7333,-103.6833,81.9,33,64,5.28
207,Nelson Bay,AU,2022-02-12 15:55:27,-32.7167,152.15,72.0,66,65,3.0
208,Radcliff,US,2022-02-12 15:55:29,37.8404,-85.9491,31.75,71,100,9.22
209,San Gabriel,US,2022-02-12 15:55:30,34.0961,-118.1058,73.94,27,1,5.23
210,Srednekolymsk,RU,2022-02-12 15:55:30,67.45,153.6833,-33.18,98,55,7.18
211,Mangrol,IN,2022-02-12 15:55:31,21.1167,70.1167,71.22,58,3,10.83
212,Shalazhi,RU,2022-02-12 15:55:32,43.0978,45.3608,40.35,71,19,3.65
213,Avarua,CK,2022-02-12 15:55:33,-21.2078,-159.775,71.65,100,92,1.14
214,Batemans Bay,AU,2022-02-12 15:55:34,-35.7167,150.1833,65.1,89,100,2.71
215,Bandarbeyla,SO,2022-02-12 15:55:35,9.4942,50.8122,76.96,59,28,12.95
216,Los Llanos De Aridane,ES,2022-02-12 15:55:36,28.6585,-17.9182,66.13,76,75,13.8
217,Benjamin Aceval,PY,2022-02-12 15:55:37,-24.9667,-57.5667,86.14,24,11,1.07
218,Kitui,KE,2022-02-12 15:55:38,-1.367,38.0106,75.22,45,98,9.19
219,Tuatapere,NZ,2022-02-12 15:55:39,-46.1333,167.6833,51.82,75,96,9.66
220,San Carlos De Bariloche,AR,2022-02-12 15:53:59,-41.1456,-71.3082,71.35,20,0,5.75
221,Santa Cruz,BO,2022-02-12 15:55:41,-17.8,-63.1667,78.85,69,75,21.85
222,Chivay,PE,2022-02-12 15:55:42,-15.6383,-71.6011,59.43,39,97,2.98
223,Shelburne,CA,2022-02-12 15:55:43,44.0787,-80.2041,17.28,80,92,15.57
224,Jardim,BR,2022-02-12 15:55:44,-21.4803,-56.1381,102.11,26,11,1.3
